example_id,doc_name,page_no,doc_type,evidence_source,question,correct_answer
546fc06f-0ad0-4c77-b584-b6207ce85032,news/06_16,0,news,text,What banned substance led to 23 elite Chinese swimmers testing positive just before the last Summer Olympic Games?,a banned substance
108e0777-95b7-4925-a86c-deaf9dc701aa,finance/JPMORGAN_2022Q2_10Q,68,finance,table,"What percentage of the Firm's over-the-counter derivative transactions were subject to collateral agreements at December 31, 2021?",88%
95a75e2f-cedb-4dcd-acaf-9c00752e4b48,administration/DUDE_ead50ea3382d22ecad9fa41f246f7681,0,administration,table,What is the projected total revenue for PUD No. 1 of Klickitat County in 2020 based on the 2016 budget?,"$54,705,108"
8f3b3866-ea97-46d8-8c4b-fae58b4706e7,academic/DUDE_b4d56265b2693dbb8649bf997a06551c,8,academic,table,What was the percentage change in the number of beneficiaries receiving regular income benefits in Regina from August 2021 to August 2022?,-71.3
8960b388-5154-469f-86f5-c3e0c3b82238,finance/DUDE_5eff9d45fd14e5a2c5aaff30d08acd43,16,finance,table,What was the total amount of dividends paid by the company in 2007?,28878
6a34c854-1071-4d51-b6c5-9dacb4d7e28e,news/omnidocbench_newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_14,0,news,reading_order,What type of substrates do adults of the species feed and spawn over in their preferred habitats?,"Gravel, cobble, boulder, and bedrock substrates with no, or very little, silt overlay."
4fc8bc09-c849-4c44-ad0a-361415754246,news/08_14,0,news,text,How many signatures were collected by abortion rights groups to put the constitutional amendment on the ballot in Arizona for November?,"577,971"
446d159e-b5c2-45dc-91cc-faaa931f3649,manual/dgx_a100,27,manual,text,Is it mandatory for the NVIDIA partner network personnel or NVIDIA field service engineers to install the DGX A100 System?,Yes
b6d2f720-6ec1-41cd-b32b-b8a6c73d26c7,administration/DUDE_d02c71efb2744b583514b4cf65fb9c82,"[2, 1]",administration,text,What is the deadline for the Lessee to submit the Annual Plan of Operation and Maintenance to the Grantor when the Lessee may provide comments as a response to the Grantor updating the existing Master Master Plan affecting the premises during the lease term?,January 1 of each year
14dddbc7-b388-4ab6-8df7-6120a4c866ba,law/BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1),2,law,table,What is the payment amount Bioamber must pay Cargill upon achieving Milestone 1: Proof of Concept?,"US $250,000.00"
13e90002-caa4-4e10-be9d-3cf49e865042,finance/AES_2022_10K,214,finance,table,What was the equity in earnings of subsidiaries and affiliates for The AES Corporation in 2020?,383
4a6edc95-c641-4236-9874-81a2d38b5acf,manual/DSA-278777,18,manual,text,What logic state is required for the EA pin to function properly in the EPROM Program Lock scheme?,The internally latched value of the EA pin must agree with its external state.
889c8ae2-4e3c-4f2d-8332-559dcad00273,textbook/DUDE_f1efdd6aa8441a8fd29ebddcc1945fa3,6,textbook,text,"What should a Wiki Ambassador consider if their studies are nearing the end, according to the guidelines provided by Wikimedia Serbia?",The Wiki Ambassador should think about who might replace them in their role.
8c971839-5637-4e73-a0be-8cf3a8a3b3ae,manual/DUDE_4f399b8c526ffb6a2fd585a18d4ed5ec,8,manual,text,What is the maximum prison sentence for a person convicted of Manslaughter II under Oregon law?,10 years
ec8c0152-7d1d-4685-b551-10b09e71ba76,administration/DUDE_a2ef3dbde89003fb50b69e4565bf165f,2,administration,formula,What was the difference between the estimated and accounted tax charges for Corporate Income Tax in 2011 for the Luxembourg company?,"6,098,520 EUR"
119aa71b-f6bf-47b5-9f46-fe0222087f22,finance/AMAZON_2019_10K,36,finance,table,"What was the amount of property and equipment acquired under finance leases by Amazon.com, Inc. in 2019?","13,723"
848d6744-2489-473b-b5fa-9dc0938d4510,administration/DUDE_5b1147787bc78c7c394c2d613a685b6c,1,administration,table,What is the total width in millimeters of the stripes in the COLOR PATTERN: STREAMER SIZE table?,70.3 mm
b6a5ca06-85c3-48ca-81d6-8bd6127824c2,manual/DUDE_e3da4ec33b853c7078243375728ba545,"[64, 51]",manual,table,"What is the quarterly copay for a semi-private room under the Community Choice plan before the deductible is applied, given that the quarterly copay for a transplant at a Center Center or Designated Hospital under the same plan is the same amount?",\$275
88d5484e-4a97-4775-95b7-a0bd095537b4,administration/DUDE_d02c71efb2744b583514b4cf65fb9c82,9,administration,text,What is the minimum amount for a Lessee's written demand or written assertion seeking payment of money to be considered a claim under the Contract Disputes Act of 1978?,"$100,000"
b8ad9d57-1a6c-41a2-876b-73dbedbdf94a,administration/DUDE_5fca69305ae96898ffdb285a1946fa04,"[0, 3]",administration,text,How did TransCanada leverage its connections for the Keystone XL pipeline's approval?,TransCanada hired lobbyists with links to the Obama administration.
96ab64d2-3512-4906-a4ed-017b208a888e,finance/DUDE_70e9ace09360e34cc312c59e3e7a4ce9,2,finance,text,"If a customer purchases sportswear and dresses already reduced by 25\%-50\%, what is the total percentage savings they can achieve by taking an extra 30\% off?",45-65
032a0c06-4f55-458e-8618-93ec82d768c6,finance/JPMORGAN_2021Q1_10Q,"[61, 134]",finance,multi,"How much did JPMorgan Chase's credit derivatives used to manage loans and lending-related commitments decrease from December 31, 2020, to March 31, 2021?","$1,716 million"
76550cb6-e96e-4c38-8ad6-f55d9cbc4414,textbook/biz-26010.pdf_127,0,textbook,formula,What is the contribution margin percentage for Product 3?,60\%
b6dd5d59-9ff7-4117-a5dd-97a63b95548e,administration/DUDE_fdac8d1e9ef56519371df7e6532df27d,"[7, 12]",administration,text,"How many Satellite Control Earth Stations are integrated at MCF - Hassan to manage the operations of the organization that the Indian Institute of Space Science and Technology (IIST) established in 2007 aims to provide quality manpower to, geostationary and geosynchronous satellites?",9
a494a9e7-0eb8-4048-94e0-bd173b2de0c1,finance/DUDE_073c5e237cfc190effc8ff2a3b0f7fe5,1,finance,table,What was the total surplus available for appropriation by ITC Limited in the year ended 31st March 2005?,2594.38 crores
969ae6f5-21d0-49d0-907b-bfad6c90bb74,finance/DUDE_9f5e2ca5587c15514608ee169ece3d77,8,finance,table,What was the difference between the 2013 Budget and the 2013 Expenditures for the Road Agent's Salary in the Highway department?,0.19
74af8d34-bbfd-4135-a90a-5d07eefc4863,"textbook/UTX_-_Postmodern_Analysis,_Third_Edition.pdf_183",0,textbook,formula,What condition must an orthogonal matrix A and vector b meet for the integral of f(Ax+b) over \mathbb{R}^{d} to equal the integral of f(x) over \mathbb{R}^{d}?,\int_{\mathbb{R}^{d}}f(A x+b)d x=\int_{\mathbb{R}^{d}}f(x)d x
87c65cdc-a473-490d-a966-9a6753d6904b,academic/DUDE_8a3ead53e05c32566f45f549b9821a4a,13,academic,table,"For example number 7, what is the difference between the values of $\Delta h_{1 c}^{(1)}$ and $\Delta h_{1 d}^{(1)}$?",0.0015
a3c89557-29ec-4e5f-88be-d05fc54d4dab,textbook/omnidocbench_docstructbench_dianzishu_zhongwenzaixian-o.O-61571237.pdf_81,0,textbook,table,在药物组合关联规则中，哪个组合的置信度最高？,炒白术→党参
4fa2f35c-90c8-4387-816a-8771a94a440c,news/06_18,0,news,text,"For how many people has Israel's war against Hamas in Gaza resulted in deaths, according to Gazan health authorities?","More than 37,000"
49e78dcc-9dd3-49c3-8b75-471e1a340ed5,manual/DSA-278777,12,manual,table,What is the maximum fall time specified for the MCS * 51 controller's external clock drive?,20 ns
a9cb4872-83cb-41f4-b793-9a853f7ec204,finance/DUDE_1b8ee1c5da9c5c5e79a6233b3a190bd4,5,finance,chart,In which month did the shares reach the highest price between April 2005 and March 2006?,December 2005
4ccf7c68-5da6-4a56-a682-861ee45dc52a,news/06_17,0,news,text,What city will host the U.S. field trials starting on a Friday?,"Eugene, Oregon"
a782b7d8-000a-4645-b6c1-49c62a184780,administration/DUDE_492c67738d0444d67cb75e13ee1a5716,8,administration,formula,"If a mentor teacher in the Peters Township Federation of Teachers worked from 2010-2011 to 2019-2020, what is the total stipend they would receive over these years?","$9,975"
a57a9c82-aeae-4da7-9913-3e39bde1b1d2,academic/DUDE_8a3ead53e05c32566f45f549b9821a4a,6,academic,formula,What are the conditions for the discontinuities of the multipliers along the characteristics in the context of gas dynamics?,"$y^{
u} ho v^{2} \operatorname{tg} \alpha \Delta h_{1} \pm \Delta h_{2}=0$"
93ad4bda-e8bd-441a-bbb8-a17cebc263f1,academic/DUDE_7a5895d89514def2a56e051c8e584fa9,0,academic,text,What is the range of premium increases per pay period for workers on the employee plus spouse/domestic partner benefit tier at the University of Minnesota if the proposed health insurance changes are implemented?,$22 to $35.80
1dc1d806-6dda-4c9e-a391-cffa15ae14f2,"law/Array BioPharma Inc. - LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT",93,law,text,What is the time frame within which Senior Executives must resolve a dispute after written notice is given?,forty-five (45) days
c132e7f1-47cb-4531-82f9-139fbf36e46f,news/omnidocbench_newspaper_a15057349a86850e55b084c235fa2f22_1,0,news,reading_order,安徽省在“三资”清理中采取了哪些措施来确保清查的彻底性和规范性？,清查面广、清查彻底、清查程序规范、推行委托代理制
60cdc9db-fea0-4b70-8a8b-425cbaab6a44,academic/2403.20330v2,3,academic,table,Which closed-source LLM achieved the highest average score across the six multi-modal benchmarks?,GeminiPro
a9afa87a-d181-49bf-aa09-9a46f25a3c68,administration/DUDE_f86d073b0d735ac873a65d906ba82758,8,administration,chart,What percentage of shares were held in physical form as of 31st March 2007?,63.21%
